證券代碼,簡稱,年月日,收盤價(元)
COID,Name,MDATE,CLOSE
1326   ,台化         ,20190819,    86.2000
1301   ,台塑         ,20190819,    92.0000
1303   ,南亞         ,20190819,    67.0000
6505   ,台塑化       ,20190819,    98.1000
1326   ,台化         ,20190820,    87.1000
1301   ,台塑         ,20190820,    93.1000
1303   ,南亞         ,20190820,    67.6000
6505   ,台塑化       ,20190820,    97.8000
1326   ,台化         ,20190821,    86.9000
1301   ,台塑         ,20190821,    92.9000
1303   ,南亞         ,20190821,    67.9000
6505   ,台塑化       ,20190821,    97.9000
1326   ,台化         ,20190822,    86.7000
1301   ,台塑         ,20190822,    92.3000
1303   ,南亞         ,20190822,    67.9000
6505   ,台塑化       ,20190822,    97.8000
1326   ,台化         ,20190823,    87.0000
1301   ,台塑         ,20190823,    93.4000
1303   ,南亞         ,20190823,    68.3000
6505   ,台塑化       ,20190823,    97.4000
1326   ,台化         ,20190826,    85.6000
1301   ,台塑         ,20190826,    91.7000
1303   ,南亞         ,20190826,    67.2000
6505   ,台塑化       ,20190826,    95.2000
1326   ,台化         ,20190827,    85.5000
1301   ,台塑         ,20190827,    90.6000
1303   ,南亞         ,20190827,    67.0000
6505   ,台塑化       ,20190827,    95.5000
1326   ,台化         ,20190828,    85.1000
1301   ,台塑         ,20190828,    91.5000
1303   ,南亞         ,20190828,    67.2000
6505   ,台塑化       ,20190828,    95.0000
1326   ,台化         ,20190829,    85.9000
1301   ,台塑         ,20190829,    91.4000
1303   ,南亞         ,20190829,    67.6000
6505   ,台塑化       ,20190829,    94.9000
1326   ,台化         ,20190830,    88.1000
1301   ,台塑         ,20190830,    94.1000
1303   ,南亞         ,20190830,    68.8000
6505   ,台塑化       ,20190830,    97.2000
1326   ,台化         ,20190902,    87.5000
1301   ,台塑         ,20190902,    94.0000
1303   ,南亞         ,20190902,    68.5000
6505   ,台塑化       ,20190902,    96.3000
1326   ,台化         ,20190903,    86.8000
1301   ,台塑         ,20190903,    93.7000
1303   ,南亞         ,20190903,    67.3000
6505   ,台塑化       ,20190903,    96.1000
1326   ,台化         ,20190904,    87.6000
1301   ,台塑         ,20190904,    94.7000
1303   ,南亞         ,20190904,    68.4000
6505   ,台塑化       ,20190904,    96.8000
1326   ,台化         ,20190905,    89.5000
1301   ,台塑         ,20190905,    96.0000
1303   ,南亞         ,20190905,    69.3000
6505   ,台塑化       ,20190905,    97.5000
1326   ,台化         ,20190906,    89.2000
1301   ,台塑         ,20190906,    95.2000
1303   ,南亞         ,20190906,    69.2000
6505   ,台塑化       ,20190906,    97.7000
1326   ,台化         ,20190909,    88.4000
1301   ,台塑         ,20190909,    95.2000
1303   ,南亞         ,20190909,    69.1000
